ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100
0.113662439,-0.030061115,0.136763455,-0.046575386,0.104289922,0.570636683,0.43522896,0.627597645,0.074253955,0.568868622,-0.003198498,0.353727665,0.190968014,0.11225799,0.124029942,0.30372056,0.040630898,0.206061857,0.339365579,0.153724319,0.002303257,0.179118671,0.292552906,0.06511643,-0.097659424,0.269985349,0.160389962,-0.098623685,0.064337202,0.186510723,0.378637983,0.312471146,0.066986911,-0.121892977,0.07598562,0.223104547,0.562484945,0.436789357,0.127507165,0.069297049,-0.075352835,0.030526009,0.351906041,0.25031311,0.166113842,0.109134094,0.143011894,0.54701769,0.023137046,0.238191543,0.019731446,0.109938012,0.220935594,-0.038884661,0.090073496,0.015256656,-0.012142027,-0.11683184,0.185199483,0.370989356,-0.101090011,0.07718714,0.015627803,0.170607511,0.60766278,0.040965066,0.034026118,0.126114046,0.227480049,0.560162913,-0.043000927,0.269176917,0.131741106,0.529694174,0.100394109,0.545644345,0.08875374,0.301893253,0.539418562,0.236903552,0.021357516,0.304829165,0.402280039,0.035765577,0.120652827,-0.036801601,-0.076285254,0.280813084,0.501422558,0.185423665,0.071344582,0.082731371,-0.082491806,0.185707392,0.307004903,0.027199946,0.409858275,0.002782609,0.231477764,0.129984393
-0.225443987,-0.202645957,-0.199572796,-0.064392951,-0.247453458,0.38694266,0.192339167,0.225544339,-0.132487071,0.209438103,-0.084936939,0.433303084,-0.051169927,-0.260359285,-0.067835798,0.021838958,-0.149271632,0.044718804,-0.104904832,-0.226664201,0.178034205,-0.155811902,-0.180495495,-0.151217603,-0.072927691,-0.069694982,-0.111540975,0.089654943,0.033235649,-0.084579088,0.257004566,-0.07242923,-0.019906516,-0.103855812,-0.076838084,-0.122869013,0.434204467,-0.29664533,0.001841955,-0.150600613,-0.14309297,-0.191927665,0.109857057,-0.205355176,-0.247660441,0.02610793,-0.222190028,0.195651538,0.052617922,0.175453054,0.099422128,-0.153361126,-0.131279056,0.08434494,-0.21494894,-0.073799724,-0.111785436,-0.302246724,-0.241112981,-0.031726782,0.051849161,0.045700919,-0.000914578,-0.170037459,0.648480675,-0.025777648,-0.111139506,-0.147016012,-0.241880031,0.420801861,-0.121624686,-0.108577087,-0.168288214,0.342021629,-0.070167307,0.404753123,-0.090569543,0.046484292,0.318146146,0.145644233,-0.182983348,-0.049160143,0.020504324,-0.043009687,0.247925031,-0.31765139,0.105741426,0.080458383,-0.176385125,-0.113132267,-0.143517816,0.108124059,0.072132776,-0.113548176,-0.178402911,-0.113599434,-0.079737698,-0.217103167,0.109026097,-0.058359925
0.185516442,-0.12970743,0.044676721,0.291123411,0.087847207,0.30924998,0.218497767,0.283633872,0.032880375,0.480209572,-0.084235167,0.381099403,0.078683023,-0.050467687,0.04568291,0.122296417,0.2253617,0.106700726,0.236849963,0.033377667,-0.038885461,0.034506105,0.071190045,0.164639414,0.300016419,0.024755703,-0.025038789,-0.045464939,-0.076861216,0.033692844,0.238184183,0.410405172,0.157014368,0.022825606,0.142605295,-0.02632733,0.343667233,0.1356608,0.140146034,0.010184472,0.064709724,0.127735989,0.043847024,0.011071847,0.038863208,0.097950567,0.045527951,0.421269449,0.327242499,-0.018040623,-0.086457072,-0.036917893,0.107028648,0.040344127,0.053457997,0.004471161,0.001711104,0.078809395,-0.11444807,-0.055239929,-0.031793942,0.00750857,-0.045932924,0.251138391,0.405885901,0.390349927,-0.008373066,0.024358826,0.10346819,0.52839639,-0.100787163,0.237399653,0.173830592,0.341046147,0.122649405,0.328582952,-0.108532716,-0.023983747,0.250996146,0.048441827,-0.013192984,0.03904739,0.386988036,0.042465919,0.226156462,0.100795545,-0.035978201,0.240222808,0.051268025,0.258474423,0.008046551,0.051038553,0.079324629,0.189696121,-0.01054561,0.278614377,0.17919734,-0.066074041,-0.062438383,0.002827125
0.139845759,0.019119942,-0.069281525,0.105653299,-0.058814458,0.486514184,0.401567344,0.388138878,-0.013757057,0.333794148,-0.111134669,0.257022869,0.096403404,-0.052567306,-0.063163156,0.104054643,0.044657994,0.105024501,0.041746383,0.082243943,-0.086413188,0.138563325,-0.079432168,0.089418573,0.142914965,0.089254687,0.121031186,-0.144633896,-0.024557348,0.188209486,0.253402269,0.133903262,-0.037827628,0.03384553,0.129212686,0.210144335,0.455754096,0.214694293,0.136630485,0.035213508,0.02829096,0.19628917,0.247437236,0.123278122,0.184664294,-0.074572713,0.055931186,0.34982477,0.117952397,-0.150655247,-0.107026273,-0.050367156,-0.057966354,0.153886804,-0.167980308,-0.137353721,0.041086017,-0.058080427,-0.214350144,0.201333554,-0.022801008,-0.068062266,0.132607076,0.331771213,0.473222846,0.139688189,-0.074855485,0.104995317,0.03714613,0.269943636,0.034736848,0.096455506,0.132741575,0.381307131,0.030140133,0.344244461,0.041586437,0.293369797,0.511342238,0.048425397,0.029376262,-0.032115469,0.296775203,-0.088520164,-0.204021284,0.066213964,0.091195344,0.31144622,0.392289041,0.187077648,-0.000550335,-0.136743398,0.046956403,0.068912231,0.008069856,-0.118296875,0.163299184,-0.142939598,0.158959557,-0.040046138
0.216893394,0.131159695,0.083110361,0.097730272,0.172699793,0.361392055,0.239991275,0.400581499,0.005925551,0.347994017,0.16913302,0.220094429,0.061161308,0.215457375,-0.056668969,0.151421407,0.123049342,0.180630604,0.02703389,0.007014782,0.118014979,0.062839759,0.314147052,0.097422485,0.048490813,0.11780875,0.087744691,0.166064413,0.028550644,-0.037958506,0.111227948,0.040055966,0.043760717,0.094949665,-0.005275324,0.105614322,0.462606789,0.222126643,0.227454428,0.096002038,0.186541095,-0.049928009,0.076850144,0.102396757,0.187324601,0.12649581,0.126654625,0.357401527,0.114281731,0.069371604,0.149189807,-0.112321033,0.093710787,0.172995265,0.124114086,0.127716496,0.047326589,0.148450052,-0.081768614,0.189140922,-0.031994633,0.000430168,0.068323043,-0.067105138,0.621607225,0.056372866,0.130519101,0.058843383,0.140106287,0.227201751,0.048771303,-0.027434752,-0.04296715,0.30759221,0.013382372,0.481001702,0.092488271,0.15623713,0.517347201,-0.014195006,-0.087860809,0.105286966,0.081158886,-0.0212173,0.253539191,0.023897303,0.119340605,0.160297333,0.321137988,-0.042090216,0.09926076,0.181807123,0.087762153,0.177982398,0.132577815,0.106455568,0.127551377,0.177079305,0.254145704,0.292836048
0.27214329,0.32230358,0.168354269,0.198493492,0.24024414,0.403618788,0.328770146,0.500578635,-0.00671076,0.436260318,0.140354811,0.252433896,0.179671254,0.200130796,0.02978798,0.100144421,0.271373026,-0.050993033,0.306153227,0.114211348,0.193431505,0.19145395,0.338743474,0.133506809,0.368636919,0.140889639,0.065321302,0.118053109,0.039721722,0.239677755,0.25268134,0.374346321,0.199514235,0.165783291,0.038928167,0.308408055,0.382874364,0.34419373,-0.086668904,0.080589576,0.168088037,0.267634174,0.107489039,0.20368813,0.302730665,0.114128938,-0.004016469,0.390070903,0.142507104,-0.050515453,0.127533007,0.225951769,0.299610772,0.095286784,0.224879002,0.211286833,-0.000594827,0.047999016,0.263247351,0.345065564,0.050206515,0.017429899,0.169881301,0.141788745,0.499122455,0.231528692,0.161561097,-0.002430609,0.186271476,0.301250949,0.178493854,0.215585101,0.214267219,0.42441848,0.241110532,0.294478634,0.207604437,0.185338697,0.475249649,0.111718422,0.183315794,0.306783562,0.329578188,0.042310373,0.207320449,0.210682545,0.104811285,0.447673969,0.429952737,0.284789775,0.069445366,0.063033557,0.104382788,0.254883814,0.341359308,0.31056218,0.213364205,0.2165649,0.204221201,0.221439925
0.152945511,0.191138704,-0.063575022,0.015347081,0.133518257,0.425657412,0.286290948,0.301158297,-0.124318408,0.354374671,-0.029491815,0.44060904,0.153071209,0.017697348,-0.206514307,0.229587156,0.06686728,0.2594619,-0.013078918,-0.144049752,0.147857193,-0.032735362,0.203893365,0.101875296,0.221727748,0.207299753,0.158849051,0.074755653,0.065771575,0.23000584,0.034775168,0.255728211,-0.095193617,0.021168021,0.040053706,0.149404191,0.433624305,0.127928777,0.094954882,0.14791205,0.166242021,0.02029027,0.04533405,0.112928692,0.059486485,-0.197331811,-0.01290483,0.396704711,0.154681748,0.12893535,-0.034125197,-0.116074174,0.205791128,0.088308221,0.148508131,0.020226579,0.035283093,0.002569594,-0.251782882,0.134606098,-0.05282329,-0.058834848,0.036502429,0.14741697,0.542824951,0.281058715,-0.009057021,0.23292117,0.037069873,0.457796248,0.02227225,0.12616503,-0.110653107,0.247506399,0.141881177,0.419970322,0.147053431,0.117271426,0.304283413,0.140401743,-0.056376702,0.088158044,0.229889579,-0.004189584,0.332253674,0.1125218,0.197139462,0.394049132,0.109998526,0.212474142,-0.002987879,0.106996559,0.084880987,0.090957196,0.179611469,0.182355021,0.05965189,-0.003335017,0.303378482,0.178761912
0.10865087,0.081393578,0.138424012,0.09279648,0.281069011,0.376199659,0.347469189,0.372776906,0.011871467,0.423567922,0.102203984,0.227052406,0.196479718,0.216475143,-0.131864508,0.183791861,0.080917106,0.126880453,0.184372519,0.029973555,0.198130784,-0.048770587,0.201537017,0.179404978,0.202447059,0.171085444,-0.10561292,0.145752118,0.01783918,0.075254987,0.162845982,0.188021606,-0.212100705,-0.158405006,0.08513743,0.163352534,0.410336801,0.108216283,0.172529664,0.095558681,0.126956333,0.056929398,0.034455782,0.079983112,0.043620151,0.076159656,-0.01286055,0.247911099,0.06021288,0.158242202,-0.101040853,0.011385746,0.151895935,0.177421474,0.080342935,0.00954612,0.069979375,0.094200016,-0.088770424,0.038236579,0.103129035,0.230877263,0.013735694,0.095084141,0.392650888,0.183446229,-0.016409086,0.057283122,0.129588991,0.466718035,0.000939584,0.045114203,-0.252164165,0.194305252,0.050338527,0.249397987,0.133091352,0.04501486,0.351693384,0.314683442,-0.041255798,0.225545214,0.187300297,-0.011978074,0.113765402,0.10999128,0.050273475,0.140211722,-0.047260245,-0.021673988,0.071145636,0.095825523,0.018150273,0.30684499,0.127133195,0.137885394,0.135432859,0.103361944,0.150994907,0.204320148
0.125234906,-0.050092857,0.132015183,0.049434284,-0.023883675,0.238772354,0.150915232,0.260817891,-0.04078128,0.322654563,0.186296217,0.180463798,0.014104994,0.217827025,0.185638237,0.251143926,0.017342466,-0.041338624,0.077458398,0.125638718,-0.039522374,0.196252394,-0.020058332,0.005866042,0.122840291,0.061015677,0.036891099,-0.071898206,0.095644738,-0.028723682,0.296986403,0.01086776,-0.001561413,0.051201457,0.158941894,0.038970586,0.232059693,0.059182971,0.248437961,0.187095461,0.008125485,0.111719499,0.108974082,0.106273753,-0.034197529,0.003442726,0.198277208,0.236925945,0.06408639,0.050075356,-0.007961293,0.011963977,-0.053250379,0.216492504,-0.01304432,0.036872731,-0.010632542,0.067560419,0.119783218,0.189987293,0.128645348,0.263455037,0.143713534,0.071144279,0.411674276,0.045536765,0.099188544,-0.115854159,0.085089842,0.347997252,0.059253068,0.032858976,0.187844549,0.365419275,0.021628469,0.421033495,0.102323853,0.071480505,0.434615657,0.102552759,0.025701876,0.071692277,0.237989178,-0.004679181,-0.019182352,-0.012446995,0.03894938,0.140538163,0.053810768,0.167102848,-0.080832445,0.044982313,0.249598523,0.048161873,0.087563105,0.034211558,0.094752847,-0.021461998,0.19882554,0.108402271
0.07494079,0.168055916,-0.106545173,0.11125265,-0.034204593,0.455194237,0.308890986,0.323386574,0.033189977,0.168740891,0.109195199,0.137204251,-0.037164266,-0.107924002,0.193001619,0.006070788,0.188481236,0.030032006,0.117744099,-0.231876518,0.196276172,0.283599694,0.114930446,0.097623909,0.330341107,-0.118753704,0.191628838,0.127983274,-0.021893244,0.156592953,-0.011334455,0.115015106,0.192327029,0.186289294,0.093631928,0.148386149,0.418734209,0.080011012,0.018646669,-0.162746105,0.124826292,-0.145626653,0.028845161,-0.183556374,0.130982408,-0.117280321,0.270709487,0.185304261,0.218512155,0.033112716,0.074466574,0.294734296,0.085506458,0.109321531,-0.002735672,0.113715791,0.347222614,0.163741798,0.184167801,0.018411822,0.140492592,0.03173825,0.229770235,-0.121745872,0.452806352,0.122730212,-0.07291679,-0.029791724,0.070333145,0.251563272,0.23827569,0.059013788,0.081614007,0.146658669,0.084122071,0.202113755,-0.049563972,-0.068476302,0.30786712,0.052997603,0.163005079,0.225347829,0.069746138,0.143393468,0.165644497,0.016567476,0.224992842,0.280181284,-0.027792861,0.183275365,0.037750692,0.125391359,0.103665758,0.090053628,0.002366538,0.027514951,-0.050661126,0.100715635,0.007061544,-0.009386363
